قيمة - ريال,الوزن الصافي بالكيلو,رمز التعرفة 4 خانات,السنة,الربع,الدولة
5106.84,19.5,6208,2025,Q2-2025,صربيا
55485330.47,619010.3,3004,2025,Q2-2025,مصر
21998.86,442.38,7321,2025,Q2-2025,كوريا الجنوبية
790.28,520,8423,2025,Q2-2025,مصر
22147.12,834,5508,2025,Q2-2025,بلجيكا
15.66,1,4820,2025,Q2-2025,إستونيا
5537.78,4.05,9006,2025,Q2-2025,ميانمار
1251364.9,619.3,4901,2025,Q2-2025,جمهورية التشيك
1637134.11,133265.184,9404,2025,Q2-2025,تركيا
9603.62,80,8419,2025,Q2-2025,لوكسمبورج
74992.5,16695,3605,2025,Q2-2025,باكستان
7337328.57,108611.282,1209,2025,Q2-2025,الولايات المتحدة
51990,23291,0406,2025,Q2-2025,اليمن
72844.68,222,0902,2025,Q2-2025,نيوزيلاندا
11481.92,360.1,7804,2025,Q2-2025,إيطاليا
18767.43,870.5,4401,2025,Q2-2025,إسبانيا
39438920.8269,31214.929,6204,2025,Q2-2025,إيطاليا
43858.88,69,9003,2025,Q2-2025,فيتنام
49543.88,42.7,3922,2025,Q2-2025,كندا
155695.25,894.08,0307,2025,Q2-2025,اليابان
55749.53,2080.37,9504,2025,Q2-2025,الدنمارك
13612.13,49,4503,2025,Q2-2025,البرازيل
5854457.47,4047.69,3004,2025,Q2-2025,الدنمارك
237889.24,2282,9508,2025,Q2-2025,كولومبيا
179553.72,20440.306,9505,2025,Q2-2025,الهند
1651637.74,223389.5,2901,2025,Q2-2025,الصين
5728.08,11.72,4814,2025,Q2-2025,أستراليا
8151.71,301,4201,2025,Q2-2025,تايلاند
39.39,3,4802,2025,Q2-2025,سويسرا
353663.21,5268,3925,2025,Q2-2025,قبرص
7077.94,7.74,9003,2025,Q2-2025,هونج كونج
1666.01,28.73,4601,2025,Q2-2025,بنجلادش
1470.91,0.1,6207,2025,Q2-2025,فرنسا
19122.01,499.7,6114,2025,Q2-2025,اليابان
463440.76,3982.055,6307,2025,Q2-2025,مكسيك
144861,21820,1104,2025,Q2-2025,جمهورية التشيك
58178.91,444.5,7312,2025,Q2-2025,فنلندا
640169.31,562.04,8464,2025,Q2-2025,الولايات المتحدة
14202.96,22,6303,2025,Q2-2025,جمهورية التشيك
12407696.81,135394.888,8544,2025,Q2-2025,اليابان
5672.95,18.42,9017,2025,Q2-2025,فيتنام
792.85,55,7315,2025,Q2-2025,اليونان
60.57,6.32,4015,2025,Q2-2025,مصر
1268213.6244,18601.932,7222,2025,Q2-2025,إيطاليا
46705.4264,774,7020,2025,Q2-2025,جمهورية التشيك
3.86,0.06,4804,2025,Q2-2025,الأردن
131741.11,512,5905,2025,Q2-2025,بلجيكا
5487.71,3,8716,2025,Q2-2025,باكستان
20067.68,37,9609,2025,Q2-2025,رومانيا
170.49,10,6214,2025,Q2-2025,صربيا
71632.92,333,9011,2025,Q2-2025,الهند
16698060.27,508063.791,8436,2025,Q2-2025,ألمانيا
632430.62,52101.16,0604,2025,Q2-2025,هولندا
2019.19,0.1,6111,2025,Q2-2025,لتوانيا
28502.01,180,7228,2025,Q2-2025,تايوان
1454.42,1,3702,2025,Q2-2025,هولندا
19429.42,195,8203,2025,Q2-2025,النمسا
10242.36,10,8108,2025,Q2-2025,سنغافورة
8466.11,10,5002,2025,Q2-2025,فرنسا
67893.11,131,5907,2025,Q2-2025,ألمانيا
4418.99,100,2006,2025,Q2-2025,فرنسا
2696120.919,366172.12,4408,2025,Q2-2025,الصين
51995.09,1814.1,4823,2025,Q2-2025,بولندا
4016.68,762,6213,2025,Q2-2025,الهند
3347673.6,419220.3,1202,2025,Q2-2025,مصر
562873.42,13932,8305,2025,Q2-2025,الهند
63.31,87.5,4905,2025,Q2-2025,الفلبين
27.16,2,0604,2025,Q2-2025,زيمبابوي
63433.72,38110,0813,2025,Q2-2025,نيجيريا
528442.74,7754.734,5703,2025,Q2-2025,الدنمارك
385.32,13,8487,2025,Q2-2025,بنجلادش
24168167.617,841336.574,9615,2025,Q2-2025,الصين
4729.23,3.12,8542,2025,Q2-2025,الأردن
348986.84,20214.8,4823,2025,Q2-2025,كوريا الجنوبية
11022.31,3420,7310,2025,Q2-2025,قطر
1670373.1,42143,7409,2025,Q2-2025,الأردن
1191.4,0.8,8605,2025,Q2-2025,إسبانيا
8625.23,206,8419,2025,Q2-2025,بلغاريا
5055.47,9.5,6402,2025,Q2-2025,بنما
4226472.51,148768.96,8414,2025,Q2-2025,البرازيل
3055711.31,271517.263,8007,2025,Q2-2025,الصين
71826.38,20983.78,8409,2025,Q2-2025,باكستان
575048.34,13134,6914,2025,Q2-2025,بلجيكا
1007078.73,32284.378,8434,2025,Q2-2025,تركيا
149.58,0.4,5301,2025,Q2-2025,إيطاليا
3741.55,29,4015,2025,Q2-2025,كولومبيا
1328445620.8114,49324725.812,8507,2025,Q2-2025,الصين
2697119.21,227014.259,5607,2025,Q2-2025,الإمارات
58.28,0.2,6117,2025,Q2-2025,سريلانكا
131419.53,5921.23,8513,2025,Q2-2025,تايوان
55403.38,284,4420,2025,Q2-2025,الأردن
28966,506,8505,2025,Q2-2025,البرازيل
299886.26,403,8529,2025,Q2-2025,السويد
849.42,1,8506,2025,Q2-2025,نيثرلاندز انتيليز
87330.19,23286.12,7003,2025,Q2-2025,بلجيكا
112663.81,1990,3004,2025,Q2-2025,سان مارينو
22577.88,517.04,8418,2025,Q2-2025,سنغافورة
1442.1,1,6211,2025,Q2-2025,أرمينيا
5595362.52,8278.492,9015,2025,Q2-2025,النرويج
7123416.23,2895.65,9021,2025,Q2-2025,فرنسا
219.8,56.5,4005,2025,Q2-2025,بنجلادش
7426.58,2,6201,2025,Q2-2025,مولدافيا
6945375.38,625821.05,1901,2025,Q2-2025,أستراليا
113729.61,19564.8,7213,2025,Q2-2025,قطر
12654.17,47.8,6105,2025,Q2-2025,بلغاريا
11613.9,421,6813,2025,Q2-2025,بنجلادش
466230.69,2372.65,9019,2025,Q2-2025,ماليزيا
44134.1,68.8,8468,2025,Q2-2025,جمهورية التشيك
1196736.42,91315.642,3911,2025,Q2-2025,إيطاليا
612304.95,2234.34,8474,2025,Q2-2025,سويسرا
2595.46,13.92,9206,2025,Q2-2025,تركيا
189387.67,5600,7316,2025,Q2-2025,الدنمارك
1728.75,78,0705,2025,Q2-2025,بلجيكا
2774835.8344,3126.747,4203,2025,Q2-2025,إيطاليا
293757.1,3285.645,8211,2025,Q2-2025,إيطاليا
14382.16,230,6807,2025,Q2-2025,تركيا
17.02,0.5,4905,2025,Q2-2025,البرتغال
3600.26,4.23,8309,2025,Q2-2025,لتوانيا
69733.96,1453,5601,2025,Q2-2025,بولندا
2919465.56,518584,7225,2025,Q2-2025,الهند
312418.27,47606.59,0206,2025,Q2-2025,إسبانيا
2625,3.9,8471,2025,Q2-2025,قبرص
5149.65,1000,8444,2025,Q2-2025,ألمانيا
7139.44,700,2004,2025,Q2-2025,أوغندا
558.3,145.34,8403,2025,Q2-2025,سوازي لاند
300500.89,25392.383,4013,2025,Q2-2025,بولندا
296.76,5.66,6406,2025,Q2-2025,بولندا
2290809.51,11094.85,8418,2025,Q2-2025,هولندا
1780.89,35.2,4017,2025,Q2-2025,بلغاريا
289103.08,25209,7203,2025,Q2-2025,الإمارات
1649.79,15,4904,2025,Q2-2025,الولايات المتحدة
4633.02,1427,4903,2025,Q2-2025,سوريا
760681.5,110000,1401,2025,Q2-2025,كينيا
